genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Munkiella,plant_pathogen,,
Parastigmatea,plant_pathogen,,
Protoscypha,plant_pathogen,,
Bryomyces,plant_pathogen,,
Eudimeriolum,plant_pathogen,,
Keratosphaera,lichen_parasite,,
Lasiostemma,plant_pathogen,,
Myxophora,lichenized,,
Nematostoma,plant_pathogen,,
Seynesiopeltis,epiphyte,,
Stomatogene,plant_pathogen,,
Toroa,plant_pathogen,,
Acrogenotheca,plant_pathogen,,
Brefeldiella,epiphyte,,
Saccardinula,plant_pathogen,,
Trichopeltella,litter_saprotroph,,
Trichopeltheca,plant_pathogen,,
Trichopeltina,plant_pathogen,,
Trichothyrinula,mycoparasite,,
Macrographa,lichenized,,
Blasdalea,plant_pathogen,,
Licopolia,litter_saprotroph,,
Vizella,plant_pathogen,,
Dyfrolomyces,wood_saprotroph,,
Melomastia,wood_saprotroph,,
Pleurotrema,wood_saprotroph,,
Encephalographa,lichenized,,
Melaspilea,lichenized,,
Cenococcum,ectomycorrhizal,short-distance_coarse,/cenococcum
Glonium,wood_saprotroph,,
Pseudocenococcum,soil_saprotroph,,
Purpurepithecium,litter_saprotroph,,
Actidiographium,wood_saprotroph,,
Gloniella,wood_saprotroph,,
Gloniopsis,wood_saprotroph,,
Hysterium,wood_saprotroph,,
Hysterobrevium,wood_saprotroph,,
Hysterocarina,wood_saprotroph,,
Hysterodifractum,wood_saprotroph,,
Hysteroglonium,litter_saprotroph,,
Oedohysterium,wood_saprotroph,,
Ostreichnion,wood_saprotroph,,
Pseudoscypha,litter_saprotroph,,
Psiloglonium,wood_saprotroph,,
Rhytidhysteron,wood_saprotroph,,
Graphyllium,wood_saprotroph,,
Aliquandostipite,wood_saprotroph,,
Brachiosphaera,litter_saprotroph,,
Jahnula,wood_saprotroph,,
Megalohypha,wood_saprotroph,,
Patescospora,wood_saprotroph,,
Xylomyces,wood_saprotroph,,
Manglicola,wood_saprotroph,,
Kirschsteiniothelia,wood_saprotroph,,
Solicorynespora,wood_saprotroph,,
Taeniolella,lichen_parasite,,
Brachysporiella,wood_saprotroph,,
Lichenothelia,lichen_parasite,,
Anungitopsis,litter_saprotroph,,
Arnaudiella,wood_saprotroph,,
Calothyriopsis,epiphyte,,
Chaetothyriothecium,epiphyte,,
Microthyrium,epiphyte,,
Neoanungitea,epiphyte,,
Paramicrothyrium,epiphyte,,
Seynesiella,epiphyte,,
Tumidispora,epiphyte,,
Neoscolecobasidium,epiphyte,,
Parazalerion,soil_saprotroph,,
Acrogenospora,wood_saprotroph,,
Minutisphaera,wood_saprotroph,,
Acrocordia,lichenized,,
Anisomeridium,lichenized,,
Caprettia,lichenized,,
Megalotremis,lichenized,,
Monoblastia,lichenized,,
Trypetheliopsis,lichenized,,
Murramarangomyces,plant_pathogen,,
Arxiella,litter_saprotroph,,
Leptodiscella,litter_saprotroph,,
Muyocopron,litter_saprotroph,,
Mycoleptodiscus,plant_pathogen,,
Paramycoleptodiscus,litter_saprotroph,,
Elsinoe,plant_pathogen,,
Elsinoë,plant_pathogen,,
Molleriella,plant_pathogen,,
Sphaceloma,plant_pathogen,,
Anhellia,animal_parasite,,
Ascostratum,litter_saprotroph,,
Butleria,plant_pathogen,,
Dictyocyclus,plant_pathogen,,
Eurytheca,animal_parasite,,
Hemimyriangium,plant_pathogen,,
Mendogia,litter_saprotroph,,
Micularia,plant_pathogen,,
Myriangium,animal_parasite,,
Zukaliopsis,epiphyte,,
Uleomyces,mycoparasite,,
Dictyonella,plant_pathogen,,
Actidium,litter_saprotroph,,
Halokirschsteiniothelia,wood_saprotroph,,
Lophium,litter_saprotroph,,
Mytilinidion,wood_saprotroph,,
Ostreola,wood_saprotroph,,
Peyronelia,unspecified_saprotroph,,
Pseudocamaropycnis,litter_saprotroph,,
Quasiconcha,litter_saprotroph,,
Septonema,wood_saprotroph,,
Slimacomyces,litter_saprotroph,,
Zoggium,wood_saprotroph,,
Natipusilla,wood_saprotroph,,
Ocala,wood_saprotroph,,
Aldona,plant_pathogen,,
Aldonata,plant_pathogen,,
Antoniomyces,plant_pathogen,,
Aulacostroma,plant_pathogen,,
Campoa,plant_pathogen,,
Cirsosiopsis,epiphyte,,
Cocconia,plant_pathogen,,
Cycloschizon,plant_pathogen,,
Cyclostomella,plant_pathogen,,
Dothidasteroma,plant_pathogen,,
Ferrarisia,plant_pathogen,,
Hysterostomella,plant_pathogen,,
Kiehlia,plant_pathogen,,
Mintera,plant_pathogen,,
Pachypatella,plant_pathogen,,
Palawaniella,plant_pathogen,,
Parmularia,epiphyte,,
Parmulariopsella,plant_pathogen,,
Parmulariopsis,plant_pathogen,,
Parmulina,plant_pathogen,,
Placoasterella,plant_pathogen,,
Placosoma,foliar_endophyte,,
Placostromella,plant_pathogen,,
Polycyclina,plant_pathogen,,
Polycyclus,plant_pathogen,,
Protothyrium,plant_pathogen,,
Pseudolembosia,plant_pathogen,,
Rhagadolobiopsis,plant_pathogen,,
Rhagadolobium,plant_pathogen,,
Rhipidocarpon,plant_pathogen,,
Symphaeophyma,plant_pathogen,,
Thallomyces,plant_pathogen,,
Viegasella,plant_pathogen,,
Baggea,wood_saprotroph,,
Banhegyia,wood_saprotroph,,
Colensoniella,wood_saprotroph,,
Endotryblidium,wood_saprotroph,,
Glyphium,wood_saprotroph,,
Haematomyxa,wood_saprotroph,,
Holmiella,wood_saprotroph,,
Hysteropatella,wood_saprotroph,,
Hysteropeltella,litter_saprotroph,,
Lahmiomyces,lichenized,,
Lecanidiella,wood_saprotroph,,
Lirellodisca,wood_saprotroph,,
Murangium,wood_saprotroph,,
Patellaria,wood_saprotroph,,
Poetschia,wood_saprotroph,,
Pseudoparodia,plant_pathogen,,
Rhizodiscina,wood_saprotroph,,
Rimula,wood_saprotroph,,
Schrakia,wood_saprotroph,,
Stratisporella,lichenized,,
Tryblidaria,wood_saprotroph,,
Echinoascotheca,unspecified_saprotroph,,
Echinoascotheca,unspecified_saprotroph,,
Phaeotrichum,unspecified_saprotroph,,
Trichodelitschia,dung_saprotroph,,
Acrocalymma,wood_saprotroph,,
Aigialus,litter_saprotroph,,
Ascocratera,wood_saprotroph,,
Fissuroma,wood_saprotroph,,
Neoastrosphaeriella,wood_saprotroph,,
Rimora,wood_saprotroph,,
Amniculicola,wood_saprotroph,,
Murispora,wood_saprotroph,,
Neomassariosphaeria,wood_saprotroph,,
Pseudomassariosphaeria,wood_saprotroph,,
Vargamyces,unspecified_saprotroph,,
Amorosia,soil_saprotroph,,
Angustimassarina,mycoparasite,,
Anteaglonium,wood_saprotroph,,
Flammeascoma,wood_saprotroph,,
Aquasubmersa,wood_saprotroph,,
Arthopyrenia,lichenized,,
Magmopsis,unspecified_saprotroph,,
Ascocylindrica,wood_saprotroph,,
Astrosphaeriella,wood_saprotroph,,
Astrosphaeriellopsis,wood_saprotroph,,
Javaria,wood_saprotroph,,
Mycopepon,litter_saprotroph,,
Pithomyces,plant_pathogen,,
Pteridiospora,wood_saprotroph,,
Bambusicola,wood_saprotroph,,
Palmiascoma,unspecified_saprotroph,,
Biatriospora,wood_saprotroph,,
Camarosporium,foliar_endophyte,,
Camarosporomyces,wood_saprotroph,,
Camarosporidiella,wood_saprotroph,,
Caryospora,wood_saprotroph,,
Aristastoma,plant_pathogen,,
Coniothyrium,plant_pathogen,,
Foliophoma,plant_pathogen,,
Neoconiothyrium,plant_pathogen,,
Ochrocladosporium,wood_saprotroph,,
Staurosphaeria,unspecified_saprotroph,,
Corynespora,plant_pathogen,,
Cryptocoryneum,wood_saprotroph,,
Allocucurbitaria,animal_parasite,,
Astragalicola,wood_saprotroph,,
Cucitella,litter_saprotroph,,
Cucurbitaria,plant_pathogen,,
Fenestella,wood_saprotroph,,
Neocucurbitaria,unspecified_saprotroph,,
Paracucurbitaria,litter_saprotroph,,
Parafenestella,unspecified_saprotroph,,
Pleurostromella,litter_saprotroph,,
Protofenestella,wood_saprotroph,,
Pyrenochaeta,wood_saprotroph,,
Rhytidiella,unspecified_saprotroph,,
Seltsamia,unspecified_saprotroph,,
Syncarpella,litter_saprotroph,,
Cyclothyriella,wood_saprotroph,,
Massariosphaeria,wood_saprotroph,,
Aaosphaeria,soil_saprotroph,,
Dacampia,lichen_parasite,,
Eopyrenula,lichenized,,
Leptocucurthis,wood_saprotroph,,
Pseudonitschkia,lichen_parasite,,
Weddellomyces,lichen_parasite,,
Delitschia,litter_saprotroph,,
Ohleriella,wood_saprotroph,,
Semidelitschia,dung_saprotroph,,
Diadema,plant_pathogen,,
Aquadictyospora,wood_saprotroph,,
Aquaticheirospora,wood_saprotroph,,
Cheiromyces,wood_saprotroph,,
Cheirosporium,wood_saprotroph,,
Dendryphiella,plant_pathogen,,
Dictyocheirospora,wood_saprotroph,,
Dictyopalmispora,litter_saprotroph,,
Dictyosporium,litter_saprotroph,,
Digitodesmium,wood_saprotroph,,
Gregarithecium,litter_saprotroph,,
Jalapriya,wood_saprotroph,,
Kamatia,litter_saprotroph,,
Neodendryphiella,litter_saprotroph,,
Pseudocoleophoma,plant_pathogen,,
Pseudodictyosporium,wood_saprotroph,,
Trichobotrys,litter_saprotroph,,
Vikalpa,wood_saprotroph,,
Allophoma,plant_pathogen,,
Ascochyta,plant_pathogen,,
Boeremia,plant_pathogen,,
Briansuttonomyces,litter_saprotroph,,
Calophoma,plant_pathogen,,
Chaetasbolisia,litter_saprotroph,,
Chaetopyrena,litter_saprotroph,,
Cumuliphoma,unspecified_saprotroph,,
Didymella,plant_pathogen,,
Didymellocamarosporium,litter_saprotroph,,
Didysimulans,wood_saprotroph,,
Ectophoma,soil_saprotroph,,
Endocoryneum,wood_saprotroph,,
Endophoma,soil_saprotroph,,
Epicoccum,plant_pathogen,,
Hazslinszkyomyces,litter_saprotroph,,
Heracleicola,wood_saprotroph,,
Heterophoma,plant_pathogen,,
Juxtiphoma,unspecified_saprotroph,,
Leptosphaerulina,wood_saprotroph,,
Macroventuria,litter_saprotroph,,
Mixtura,litter_saprotroph,,
Monascostroma,wood_saprotroph,,
Neoascochyta,plant_pathogen,,
Neodidymella,plant_pathogen,,
Neodidymelliopsis,litter_saprotroph,,
Neomicrosphaeropsis,litter_saprotroph,,
Nothophoma,litter_saprotroph,,
Paraboeremia,unspecified_saprotroph,,
Peyronellaea,plant_pathogen,,
Phoma,plant_pathogen,,
Phomatodes,wood_saprotroph,,
Platychora,plant_pathogen,,
Pseudoascochyta,soil_saprotroph,,
Pseudodiplodia,litter_saprotroph,,
Pseudohendersonia,litter_saprotroph,,
Remotididymella,animal_parasite,,
Rhynchodiplodia,,,
Sclerophoma,unspecified_saprotroph,,
Similiphoma,plant_pathogen,,
Sphaeriothyrium,litter_saprotroph,,
Stagonosporopsis,plant_pathogen,,
Vacuiphoma,animal_parasite,,
Xenodidymella,litter_saprotroph,,
Alloconiothyrium,soil_saprotroph,,
Aporospora,wood_saprotroph,,
Austropleospora,plant_pathogen,,
Barria,plant_pathogen,,
Bimuria,soil_saprotroph,,
Dendrothyrium,wood_saprotroph,,
Deniquelata,plant_pathogen,,
Didymocrea,wood_saprotroph,,
Didymosphaeria,plant_pathogen,,
Julella,wood_saprotroph,,
Kalmusia,wood_saprotroph,,
Kalmusibambusa,wood_saprotroph,,
Karstenula,wood_saprotroph,,
Laburnicola,wood_saprotroph,,
Letendraea,mycoparasite,,
Lineostroma,plant_pathogen,,
Melanophoma,,,
Montagnula,wood_saprotroph,,
Munkovalsaria,litter_saprotroph,,
Neokalmusia,wood_saprotroph,,
Paracamarosporium,wood_saprotroph,,
Paraconiothyrium,wood_saprotroph,,
Paramassariosphaeria,wood_saprotroph,,
Paraphaeosphaeria,wood_saprotroph,,
Phaeodothis,wood_saprotroph,,
Pseudocamarosporium,wood_saprotroph,,
Pseudopithomyces,plant_pathogen,,
Spegazzinia,wood_saprotroph,,
Sporidesmiella,wood_saprotroph,,
Tremateia,plant_pathogen,,
Verrucoconiothyrium,wood_saprotroph,,
Vicosamyces,plant_pathogen,,
Xenocamarosporium,wood_saprotroph,,
Dothidotthia,plant_pathogen,,
Mycocentrospora,plant_pathogen,,
Phaeomycocentrospora,plant_pathogen,,
Pleiochaeta,plant_pathogen,,
Thyrostroma,plant_pathogen,,
Wilsonomyces,plant_pathogen,,
Fuscostagonospora,wood_saprotroph,,
Fusculina,plant_pathogen,,
Gordonomyces,litter_saprotroph,,
Halojulella,wood_saprotroph,,
Brunneoclavispora,wood_saprotroph,,
Halotthia,wood_saprotroph,,
Mauritiana,epiphyte,,
Neolophiostoma,wood_saprotroph,,
Pontoporeia,wood_saprotroph,,
Sulcosporium,wood_saprotroph,,
Hermatomyces,wood_saprotroph,,
Hypsostroma,wood_saprotroph,,
Latorua,soil_saprotroph,,
Matsushimamyces,soil_saprotroph,,
Polyschema,soil_saprotroph,,
Pseudoasteromassaria,wood_saprotroph,,
Bahusandhika,litter_saprotroph,,
Lentimurispora,wood_saprotroph,,
Darksidea,root_endophyte,,
Halobyssothecium,wood_saprotroph,,
Katumotoa,wood_saprotroph,,
Keissleriella,wood_saprotroph,,
Lentithecium,wood_saprotroph,,
Murilentithecium,wood_saprotroph,,
Neoophiosphaerella,wood_saprotroph,,
Phragmocamarosporium,wood_saprotroph,,
Pleurophoma,plant_pathogen,,
Poaceascoma,wood_saprotroph,,
Setoseptoria,plant_pathogen,,
Tingoldiago,wood_saprotroph,,
Towyspora,wood_saprotroph,,
Acicuseptoria,plant_pathogen,,
Alloleptosphaeria,wood_saprotroph,,
Alternariaster,plant_pathogen,,
Chaetoplea,wood_saprotroph,,
Coniothyrina,unspecified_saprotroph,,
Heterospora,plant_pathogen,,
Heterosporicola,wood_saprotroph,,
Leptosphaeria,plant_pathogen,,
Neoleptosphaeria,wood_saprotroph,,
Paraleptosphaeria,wood_saprotroph,,
Plectophomella,litter_saprotroph,,
Plenodomus,plant_pathogen,,
Querciphoma,wood_saprotroph,,
Sphaerellopsis,plant_pathogen,,
Subplenodomus,plant_pathogen,,
Libertasomyces,litter_saprotroph,,
Neoplatysporoides,litter_saprotroph,,
Ligninsphaeria,wood_saprotroph,,
Arundellina,wood_saprotroph,,
Clohesyomyces,wood_saprotroph,,
Hongkongmyces,animal_parasite,,
Lindgomyces,wood_saprotroph,,
Lolia,wood_saprotroph,,
Longipedicellata,wood_saprotroph,,
Pseudoxylomyces,wood_saprotroph,,
Alpestrisphaeria,soil_saprotroph,,
Biappendiculispora,litter_saprotroph,,
Capulatispora,wood_saprotroph,,
Coelodictyosporium,wood_saprotroph,,
Crassiclypeus,wood_saprotroph,,
Decaisnella,wood_saprotroph,,
Dimorphiopsis,plant_pathogen,,
Flabellascoma,wood_saprotroph,,
Guttulispora,wood_saprotroph,,
Lentistoma,wood_saprotroph,,
Leptoparies,wood_saprotroph,,
Lophiohelichrysum,wood_saprotroph,,
Lophiopoacea,litter_saprotroph,,
Lophiostoma,wood_saprotroph,,
Neopaucispora,wood_saprotroph,,
Neotrematosphaeria,wood_saprotroph,,
Neovaginatispora,wood_saprotroph,,
Parapaucispora,wood_saprotroph,,
Paucispora,wood_saprotroph,,
Platystomum,wood_saprotroph,,
Pseudolophiostoma,wood_saprotroph,,
Pseudopaucispora,wood_saprotroph,,
Pseudoplatystomum,wood_saprotroph,,
Quintaria,wood_saprotroph,,
Sigarispora,litter_saprotroph,,
Vaginatispora,wood_saprotroph,,
Atrocalyx,wood_saprotroph,,
Crassimassarina,wood_saprotroph,,
Cryptoclypeus,wood_saprotroph,,
Galeaticarpa,wood_saprotroph,,
Lophiotrema,wood_saprotroph,,
Pseudocryptoclypeus,wood_saprotroph,,
Macrodiplodiopsis,plant_pathogen,,
Massaria,wood_saprotroph,,
Massarioramusculicola,wood_saprotroph,,
Byssothecium,unspecified_saprotroph,,
Helminthosporiella,wood_saprotroph,,
Helminthosporium,plant_pathogen,,
Massarina,plant_pathogen,,
Pseudodidymosphaeria,wood_saprotroph,,
Pseudosplanchnonema,wood_saprotroph,,
Semifissispora,plant_pathogen,,
Stagonospora,plant_pathogen,,
Suttonomyces,wood_saprotroph,,
Alpinaria,plant_pathogen,,
Aposphaeria,wood_saprotroph,,
Asymmetricospora,wood_saprotroph,,
Bertiella,wood_saprotroph,,
Bicrouania,unspecified_saprotroph,,
Byssosphaeria,wood_saprotroph,,
Calyptronectria,wood_saprotroph,,
Camposporium,wood_saprotroph,,
Exosporiella,unspecified_saprotroph,,
Farlowiella,litter_saprotroph,,
Fusiconidium,wood_saprotroph,,
Gemmamyces,plant_pathogen,,
Herpotrichia,plant_pathogen,,
Mamillisphaeria,wood_saprotroph,,
Marjia,wood_saprotroph,,
Melanocamarosporioides,wood_saprotroph,,
Melanocamarosporium,wood_saprotroph,,
Melanocucurbitaria,wood_saprotroph,,
Melanodiplodia,wood_saprotroph,,
Melanomma,wood_saprotroph,,
Monoseptella,wood_saprotroph,,
Muriformistrickeria,wood_saprotroph,,
Navicella,wood_saprotroph,,
Neopeckia,litter_saprotroph,,
Petrakia,plant_pathogen,,
Phragmocephala,wood_saprotroph,,
Pleotrichocladium,wood_saprotroph,,
Praetumpfia,wood_saprotroph,,
Pseudobyssosphaeria,wood_saprotroph,,
Pseudodidymella,plant_pathogen,,
Pseudostrickeria,wood_saprotroph,,
Sarimanas,wood_saprotroph,,
Seifertia,plant_pathogen,,
Tumularia,litter_saprotroph,,
Uzbekistanica,wood_saprotroph,,
Xenostigmina,plant_pathogen,,
Microsphaeropsis,unspecified_pathotroph,,
Aquilomyces,wood_saprotroph,,
Clypeoloculus,wood_saprotroph,,
Helicascus,wood_saprotroph,,
Morosphaeria,wood_saprotroph,,
Rhizopycnis,foliar_endophyte,,
Mycoporum,lichenized,,
Dimorphosporicola,wood_saprotroph,,
Neocamarosporium,wood_saprotroph,,
Brevicollum,wood_saprotroph,,
Crassiparies,litter_saprotroph,,
Medicopsis,animal_parasite,,
Neohendersonia,wood_saprotroph,,
Neomassaria,wood_saprotroph,,
Neophaeosphaeria,wood_saprotroph,,
Neopyrenochaeta,unspecified_saprotroph,,
Nigrograna,animal_parasite,,
Neooccultibambusa,wood_saprotroph,,
Occultibambusa,wood_saprotroph,,
Pseudoacrodictys,foliar_endophyte,,
Seriascoma,wood_saprotroph,,
Versicolorisporium,wood_saprotroph,,
Ohleria,wood_saprotroph,,
Aquastroma,wood_saprotroph,,
Multilocularia,wood_saprotroph,,
Multiseptospora,wood_saprotroph,,
Neoaquastroma,wood_saprotroph,,
Parabambusicola,wood_saprotroph,,
Pseudomonodictys,wood_saprotroph,,
Paradictyoarthrinium,wood_saprotroph,,
Xenomassariosphaeria,wood_saprotroph,,
Parapyrenochaeta,wood_saprotroph,,
Quixadomyces,epiphyte,,
Bambusistroma,wood_saprotroph,,
Flavomyces,root_endophyte,,
Lacellina,,,
Noosia,wood_saprotroph,,
Periconia,plant_pathogen,,
Lignosphaeria,wood_saprotroph,,
Phaeoseptum,wood_saprotroph,,
Acericola,wood_saprotroph,,
Allophaeosphaeria,wood_saprotroph,,
Amarenographium,litter_saprotroph,,
Ampelomyces,plant_pathogen,,
Aphanostigme,plant_pathogen,,
Banksiophoma,litter_saprotroph,,
Bhatiellae,wood_saprotroph,,
Bricookea,litter_saprotroph,,
Camarosporioides,litter_saprotroph,,
Chaetosphaeronema,plant_pathogen,,
Dactylidina,litter_saprotroph,,
Dematiopleospora,litter_saprotroph,,
Didymocyrtis,lichen_parasite,,
Diederichomyces,lichen_parasite,,
Edenia,plant_pathogen,,
Embarria,litter_saprotroph,,
Entodesmium,litter_saprotroph,,
Equiseticola,litter_saprotroph,,
Eudarluca,mycoparasite,,
Galiicola,litter_saprotroph,,
Galliicola,litter_saprotroph,,
Italica,litter_saprotroph,,
Juncaceicola,litter_saprotroph,,
Leptospora,litter_saprotroph,,
Loratospora,litter_saprotroph,,
Mauginiella,plant_pathogen,,
Melnikia,litter_saprotroph,,
Muriphaeosphaeria,plant_pathogen,,
Neosetophoma,litter_saprotroph,,
Neosphaerellopsis,litter_saprotroph,,
Neostagonospora,litter_saprotroph,,
Neosulcatispora,litter_saprotroph,,
Nodulosphaeria,litter_saprotroph,,
Ophiobolopsis,litter_saprotroph,,
Ophiobolus,litter_saprotroph,,
Ophiosimulans,litter_saprotroph,,
Ophiosphaerella,plant_pathogen,,
Paraophiobolus,litter_saprotroph,,
Paraphoma,plant_pathogen,,
Parastagonospora,plant_pathogen,,
Parastagonosporella,plant_pathogen,,
Phaeopoacea,litter_saprotroph,,
Phaeoseptoria,litter_saprotroph,,
Phaeosphaeria,litter_saprotroph,,
Phaeosphaeriopsis,plant_pathogen,,
Phaeostagonospora,litter_saprotroph,,
Poaceicola,litter_saprotroph,,
Populocrescentia,litter_saprotroph,,
Premilcurensis,litter_saprotroph,,
Pseudoophiobolus,litter_saprotroph,,
Pseudophaeosphaeria,litter_saprotroph,,
Sclerostagonospora,litter_saprotroph,,
Scolicosporium,wood_saprotroph,,
Septoriella,litter_saprotroph,,
Setomelanomma,plant_pathogen,,
Setophoma,plant_pathogen,,
Sulcispora,plant_pathogen,,
Tiarospora,litter_saprotroph,,
Tintelnotia,plant_pathogen,,
Trematophoma,wood_saprotroph,,
Vagicola,wood_saprotroph,,
Wojnowicia,wood_saprotroph,,
Wojnowiciella,litter_saprotroph,,
Vrystaatia,plant_pathogen,,
Xenophaeosphaeria,litter_saprotroph,,
Xenophoma,lichen_parasite,,
Xenoseptoria,plant_pathogen,,
Yunnanensis,litter_saprotroph,,
Beverwykella,litter_saprotroph,,
Dendryphiopsis,wood_saprotroph,,
Lichenopyrenis,lichen_parasite,,
Myxocyclus,wood_saprotroph,,
Peridiothelia,litter_saprotroph,,
Pleomassaria,wood_saprotroph,,
Prosthemium,wood_saprotroph,,
Pseudotrichia,wood_saprotroph,,
Splanchnonema,wood_saprotroph,,
Pleomonodictys,wood_saprotroph,,
Allonecte,wood_saprotroph,,
Alternaria,plant_pathogen,,
Asteromyces,unspecified_saprotroph,,
Bipolaris,plant_pathogen,,
Brachycladium,foliar_endophyte,,
Clathrospora,plant_pathogen,,
Cochliobolus,plant_pathogen,,
Comoclathris,wood_saprotroph,,
Crivellia,plant_pathogen,,
Curvularia,plant_pathogen,,
Decorospora,wood_saprotroph,,
Diademosa,litter_saprotroph,,
Dichotomophthora,plant_pathogen,,
Dissitimurus,,,
Drechslera,plant_pathogen,,
Embellisia,plant_pathogen,,
Exserohilum,plant_pathogen,,
Extrawettsteinina,plant_pathogen,,
Gibbago,plant_pathogen,,
Goniopila,wood_saprotroph,,
Hendersonia,unspecified_saprotroph,,
Johnalcornia,plant_pathogen,,
Lewia,plant_pathogen,,
Macrospora,plant_pathogen,,
Macrosporium,plant_pathogen,,
Nimbya,plant_pathogen,,
Paradendryphiella,plant_pathogen,,
Platysporoides,plant_pathogen,,
Pleoseptum,wood_saprotroph,,
Pleospora,plant_pathogen,,
Porocercospora,plant_pathogen,,
Prathoda,plant_pathogen,,
Pseudoyuconia,plant_pathogen,,
Pyrenophora,plant_pathogen,,
Setosphaeria,plant_pathogen,,
Sinomyces,litter_saprotroph,,
Stemphylium,plant_pathogen,,
Tamaricicola,wood_saprotroph,,
Ulocladium,plant_pathogen,,
Acuminatispora,litter_saprotroph,,
Aegeanispora,wood_saprotroph,,
Alascospora,litter_saprotroph,,
Antealophiotrema,wood_saprotroph,,
Ascorhombispora,wood_saprotroph,,
Atradidymella,plant_pathogen,,
Bactrodesmium,wood_saprotroph,,
Briansuttonia,plant_pathogen,,
Camarographium,wood_saprotroph,,
Cerebella,plant_pathogen,,
Chaetodiplodia,plant_pathogen,,
Chaetophoma,plant_pathogen,,
Chalastospora,plant_pathogen,,
Cheiromoniliophora,litter_saprotroph,,
Colispora,litter_saprotroph,,
Cyclothyrium,unspecified_saprotroph,,
Dangeardiella,litter_saprotroph,,
Daruvedia,wood_saprotroph,,
Dokmaia,foliar_endophyte,,
Farasanispora,wood_saprotroph,,
Glaxoa,litter_saprotroph,,
Groveolopsis,,,
Heliscella,litter_saprotroph,,
Homostegia,lichen_parasite,,
Inflatispora,wood_saprotroph,,
Isthmolongispora,litter_saprotroph,,
Isthmosporella,wood_saprotroph,,
Megacapitula,litter_saprotroph,,
Megatomentella,wood_saprotroph,,
Monotosporella,wood_saprotroph,,
Neocurreya,litter_saprotroph,,
Ostropella,wood_saprotroph,,
Paraepicoccum,litter_saprotroph,,
Paraliomyces,wood_saprotroph,,
Parameliola,mycoparasite,,
Perthomyces,litter_saprotroph,,
Phellinocrescentia,unspecified_saprotroph,,
Phialophorophoma,wood_saprotroph,,
Phragmogibbera,litter_saprotroph,,
Pleosphaerellula,wood_saprotroph,,
Pseudopassalora,litter_saprotroph,,
Pseudopyrenidium,lichen_parasite,,
Rebentischia,wood_saprotroph,,
Scleroramularia,plant_pathogen,,
Setophaeosphaeria,plant_pathogen,,
Sirodesmium,plant_pathogen,,
Spiroplana,plant_pathogen,,
Stenocladiella,litter_saprotroph,,
Stuartella,epiphyte,,
Xenobotryosphaeria,litter_saprotroph,,
Xenolophium,litter_saprotroph,,
Carinispora,wood_saprotroph,,
Pseudoastrosphaeriella,wood_saprotroph,,
Pseudoberkleasmium,litter_saprotroph,,
Pseudocoleodictyospora,wood_saprotroph,,
Subglobosporium,wood_saprotroph,,
Pseudopyrenochaeta,unspecified_saprotroph,,
Pyrenidium,lichen_parasite,,
Neopyrenochaetopsis,unspecified_saprotroph,,
Pyrenochaetopsis,foliar_endophyte,,
Appendispora,wood_saprotroph,,
Cytoplea,wood_saprotroph,,
Elongatopedicellata,wood_saprotroph,,
Immotthia,unspecified_pathotroph,,
Neoroussoella,wood_saprotroph,,
Pararoussoella,litter_saprotroph,,
Roussoella,wood_saprotroph,,
Roussoellopsis,wood_saprotroph,,
Acrocordiopsis,wood_saprotroph,,
Salsuginea,wood_saprotroph,,
Grandigallia,wood_saprotroph,,
Shiraia,plant_pathogen,,
Chaetopreussia,dung_saprotroph,,
Forliomyces,wood_saprotroph,,
Pleophragmia,dung_saprotroph,,
Preussia,dung_saprotroph,,
Pycnidiophora,unspecified_saprotroph,,
Sparticola,wood_saprotroph,,
Sporormia,dung_saprotroph,,
Sporormiella,litter_saprotroph,,
Sporormurispora,wood_saprotroph,,
Westerdykella,dung_saprotroph,,
Magnicamarosporium,wood_saprotroph,,
Neobambusicola,wood_saprotroph,,
Pseudobambusicola,wood_saprotroph,,
Sulcatispora,wood_saprotroph,,
Celtidia,soil_saprotroph,,
Coronopapilla,wood_saprotroph,,
Rechingeriella,wood_saprotroph,,
Richonia,wood_saprotroph,,
Zopfia,unspecified_saprotroph,,
Zopfiofoveola,unspecified_saprotroph,,
Asymmetrispora,litter_saprotroph,,
Aurantiascoma,litter_saprotroph,,
Chaetomastia,litter_saprotroph,,
Floricola,litter_saprotroph,,
Loculohypoxylon,litter_saprotroph,,
Magnibotryascoma,litter_saprotroph,,
Misturatosphaeria,litter_saprotroph,,
Paulkirkia,litter_saprotroph,,
Pseudoaurantiascoma,litter_saprotroph,,
Pseudomisturatosphaeria,litter_saprotroph,,
Ramusculicola,litter_saprotroph,,
Sinodidymella,litter_saprotroph,,
Teichospora,litter_saprotroph,,
Angustospora,litter_saprotroph,,
Lepidosphaeria,litter_saprotroph,,
Lojkania,litter_saprotroph,,
Muritestudina,litter_saprotroph,,
Neotestudina,litter_saprotroph,,
Testudina,litter_saprotroph,,
Ulospora,litter_saprotroph,,
Verruculina,litter_saprotroph,,
Ernakulamia,litter_saprotroph,,
Polyplosphaeria,litter_saprotroph,,
Pseudotetraploa,litter_saprotroph,,
Quadricrura,litter_saprotroph,,
Shrungabeeja,litter_saprotroph,,
Tetraploa,litter_saprotroph,,
Tetraplosphaeria,wood_saprotroph,,
