genus,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage
Upretia,lichenized,,
Carneothele,lichenized,,
Turquoiseomyces,plant_pathogen,,
Oidiopsis,plant_pathogen,,
Typhulochaeta,plant_pathogen,,
Arachnoscypha,unspecified_saprotroph,,
Chrysodisca,wood_saprotroph,,
Annabella,wood_saprotroph,,
Lawreyella,lichen_parasite,,
Phaeangella,wood_saprotroph,,
Geocoryne,litter_saprotroph,,
Chaetoscypha,litter_saprotroph,,
Eubelonis,wood_saprotroph,,
Arboricolonus,plant_pathogen,,
Asterocalyx,litter_saprotroph,,
Brefeldochium,wood_saprotroph,,
Kukwaea,lichen_parasite,,
Pachydisca,litter_saprotroph,,
Patinellaria,litter_saprotroph,,
Phragmonaevia,,,
Gamarada,root_endophyte,,
Scolecolachnum,plant_pathogen,,
Tubolachnum,litter_saprotroph,,
Tapesia,unspecified_saprotroph,,
Phialina,unspecified_saprotroph,,
Ploettnerula,unspecified_saprotroph,,
Pseudolanzia,litter_saprotroph,,
Staheliella,soil_saprotroph,,
Mycopappus,plant_pathogen,,
Srinivasanomyces,wood_saprotroph,,
Aotearoamyces,wood_saprotroph,,
Blastosporium,plant_pathogen,,
Heufleria,,,
Mycomelanea,,,
Triblidiopsis,wood_saprotroph,,
Ascophanus,dung_saprotroph,,
Dennisiopsis,dung_saprotroph,,
Geocavicola,,,
Lasiocupulina,soil_saprotroph,,
Pseudocoprotus,dung_saprotroph,,
Pygmaeosphaera,lichen_parasite,,
Ascopersicus,unspecified_saprotroph,,
Diploceras,plant_pathogen,,
Disaeta,plant_pathogen,,
Distononappendiculata,unspecified_saprotroph,,
Diversimediispora,soil_saprotroph,,
Nonappendiculata,litter_saprotroph,,
Parabartalinia,litter_saprotroph,,
Pseudosarcostroma,,,
Xenoseimatosporium,unspecified_saprotroph,,
Victoriomyces,soil_saprotroph,,
Miyoshiella,unspecified_saprotroph,,
Neonawawia,litter_saprotroph,,
Dactylidispora,soil_saprotroph,,
Echinusitheca,soil_saprotroph,,
Pseudomicrothecium,litter_saprotroph,,
Myrtonectria,plant_pathogen,,
Myrtoporthe,plant_pathogen,,
Kamalia,plant_pathogen,,
Flavignomonia,plant_pathogen,,
Septomelanconiella,wood_saprotroph,,
Sheathospora,plant_pathogen,,
Neophaeoappendicospora,litter_saprotroph,,
Neopseudomelanconis,unspecified_saprotroph,,
Aquimonospora,wood_saprotroph,,
Proliferophorum,wood_saprotroph,,
Brunneochlamydosporium,soil_saprotroph,,
Brunneomyces,litter_saprotroph,,
Chlamydosporiella,unspecified_saprotroph,,
Furcasterigmium,soil_saprotroph,,
Fuscohypha,soil_saprotroph,,
Musidium,plant_pathogen,,
Nigrocephalum,animal_parasite,,
Paragibellulopsis,litter_saprotroph,,
Paramusicillium,soil_saprotroph,,
Phialoparvum,soil_saprotroph,,
Sayamraella,soil_saprotroph,,
Summerbellia,soil_saprotroph,,
Theobromium,,,
Chrysonectria,wood_saprotroph,,
Pilonectria,,,
Helicocollum,animal_parasite,,
Nigelia,animal_parasite,,
Romanoa,soil_saprotroph,,
Neobaryopsis,lichen_parasite,,
Kiflimonium,soil_saprotroph,,
Stephanoma,mycoparasite,,
Murinectria,unspecified_saprotroph,,
Neoeucasphaeria,,,
Parasarocladium,,,
Hyalinostachys,wood_saprotroph,,
Bifusisporella,foliar_endophyte,,
Setameliola,plant_pathogen,,
Amphitrite,wood_saprotroph,,
Aniptosporopsis,wood_saprotroph,,
Lautisporopsis,wood_saprotroph,,
Paraaniptodera,wood_saprotroph,,
Fairmania,wood_saprotroph,,
Synnematotriadelphia,litter_saprotroph,,
Afroraffaelea,plant_pathogen,,
Neomonodictys,wood_saprotroph,,
Allobotryotrichum,plant_pathogen,,
Episternus,animal_parasite,,
