OTU_ID,Bal1,Bal5,Bal6,Bal8,CC10,CC7,CC8,Can2,DY1,Bal2,Bal3,Bal4,Bal7,CC2,DY3,Bal11,Bal9,CC1,Can1,DP2,DP3,DP4,DP6,DP7,DY2,DY5,DY4,CC3,CC9,DY6,Bal10,DP5,CC11,CC4,DP1,DY7,Can5,Can6,Can3,Can4
de2420e8c78f6f5bf30665f9f47e6416c6d7bce9,324926,46821,77008,2141,166879,3093,75058,0,5913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea6e104ce2ab3a3b3a1b77da9ec8a05b839b4dd2,0,0,0,112144,0,164063,0,0,0,116268,52560,0,32759,167152,23861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f8193ee9ea03dcf1edd1886989c334f8f9799d2,0,0,0,34941,0,0,0,0,0,34430,121728,890,0,4847,5593,171857,0,89698,32885,0,657,0,27667,1161,69506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328dbc9b565a8a6bbe004b4f459b76cb91f7bdf2,0,0,0,0,0,0,0,0,0,0,0,0,275169,0,0,0,0,0,0,0,0,0,64593,0,0,10304,20970,0,0,0,0,0,0,0,0,0,0,0,0,0
f0d548bc838e8b4680497b0971b74ff2ea863b12,0,0,0,0,0,0,0,0,0,0,0,0,0,19760,0,0,0,0,0,0,0,0,0,0,0,0,0,154549,0,0,0,0,0,0,0,0,0,0,0,0
d19ad10d0496841fe1c5fed0222c6bd3f11459e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125777,0,0,0,0,38495,0,0,0,0,0,0,0,0,0,0,0
f65823b241ba12644ed9911b01673c8b9121e9f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,17153,83276,56245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ae9f19330576f0406379a9a91416e267c25cdbf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98619,2634,0,0,32160,0,0,0,0,0,0,0,0,0,0
12f9f95f0507ce2db73a43eb5f8b280fc6e98a3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29231,7114,0,0,91452,0,0,0,0,0,0,0,0,0,0
8437968b29f33c325602416a7eb94bdee58f9e98,0,0,116098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eaa8b0ef9b78256951efe85b2c687840d84d893b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115741,0,0,0,0,0,0,0,0,0
2beaf73b4f399a4fa434b9c83f2d55f638986b20,0,0,0,0,0,0,0,39015,0,0,0,0,0,0,0,0,24547,15386,0,293,0,14284,0,11583,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0
9bf3eef814c46191b0727b0ea66401ec956b5cd8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12206,0,89971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10c6ee0ab382cdfc2b47600c704a0599f1920784,12297,1024,7579,161,1103,11126,8247,0,1036,216,771,5211,269,715,0,657,870,0,0,0,130,588,0,0,170,0,241,3321,33459,435,2020,0,256,408,0,304,0,0,0,0
36e4d25f816c74e1b643520746151e678f9eb383,0,2541,2165,0,0,0,126,0,0,0,354,577,0,0,0,134,517,0,0,0,0,0,0,0,0,0,446,0,0,1010,180,0,0,0,0,82022,0,0,0,0
039dca03dca2b56b8640449d24d44550074898ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,84684,0,0,0,0,0,0
bb25016a2c8f360a00a7ffe03a279a3b1b654cb5,0,115,0,0,0,0,0,0,0,0,130,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,109,0,0,199,0,0,0,0,0,82345,0,0,0,0
f8c6acc920c8e02564b55df32f63dcbdac70fd35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83196,0,0,0
