OTU_ID,abundance,phylum,class,order,family,genus,species,evalue,coverage,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage,similarity
72e4009e03ca849426bfa5c4c1a6ae99d33b61d7,78,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,2.52e-84,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,98.889
c0e64a002209ca3e80f5a5a755550031f290f6cb,78,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_sp,4.7e-101,100,ectomycorrhizal,contact,/russula-lactarius,97.696
65d4a61740caba406c7e1c55a204ac3fbe0ae2fb,76,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,9.85e-72,95.92760180995475,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,88.679
e76c4481d676db17b2ef8b33af7fd4010b409a17,75,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,9.84e-91,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,94.091
6e42eb96bac7710d0474a57947775e64f067882c,73,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,Hysterangium_sp,7.72e-47,99.47916666666666,ectomycorrhizal,mat,/hysterangium,82.723
220a671517cc8283b0dda3bf676abbf20c650a1c,72,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_roseopileata,1.67e-126,100,ectomycorrhizal,contact,/russula-lactarius,100
da16a83aa77ffac7eb4e923b1797fd14a5a517e2,68,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.9e-93,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,94.545
747c8cb882ca8832d98db25ff41782fcc119ab87,65,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,Hysterangium_sp,2.57e-84,100,ectomycorrhizal,mat,/hysterangium,98.343
f37f0f1d4c19a5f509e7ca17be4fc1edd6b2c3cb,63,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,Hysterangium_sp,2.38e-78,100,ectomycorrhizal,mat,/hysterangium,96.111
59b0a8fdad3bc02d54ba74d6915a47f7ebae443b,63,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,1.6e-80,99.44444444444444,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,97.207
91a0ff527159e0eb2940a7091d8bab1a44dafaea,61,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,2.15e-86,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,92.694
e360910d2a243e3b2ae23b5974cfc1dfff491696,59,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,2.85e-110,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,99.55
df54e5a5c1456bb113eabc0d884c9f8efb9990e9,56,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Descomyces,Descomyces_sp,3.04e-97,100,ectomycorrhizal,short-distance_delicate,/descolea,96.38
d75552c37dfdcaf15eac46492047f2ba4faa629f,53,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,Hysterangium_sp,4.74e-81,100,ectomycorrhizal,mat,/hysterangium,96.196
c2ae5fa5e83a38fa784fc7727200785ff4aab833,53,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,7.57e-86,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,92.273
00df255a291fa92e0354697ef1d726d0a24e60af,53,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.62e-81,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,90.411
e31c035caaed24b2b3c2e6e1f1e8788735644805,51,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,Hysterangium_sp,2.3e-91,100,ectomycorrhizal,mat,/hysterangium,100
0b7161ed5f3c8cebc4c0d5cc24f66b993386226b,51,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp,1.73e-73,100,ectomycorrhizal,short-distance_delicate,/inocybe,95.93
6b0722ad220166ce06cb4bbad11b4c2d4e60cf5d,50,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,2.66e-71,96.5909090909091,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,94.706
