OTU_ID,Bal1,Bal10,Bal11,Bal2,Bal3,Bal4,Bal5,Bal6,Bal7,Bal8,Bal9,CC1,CC10,CC11,CC2,CC3,CC4,CC7,CC8,CC9,Can1,Can2,Can3,Can4,Can5,Can6,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DY1,DY2,DY3,DY4,DY5,DY6,DY7
00df255a291fa92e0354697ef1d726d0a24e60af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01128603cbde0996419c47921ed5c23272c77dc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016406017124be0e9bb82f9247eb9f39011a3a46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0
046533c78bcd24e22ed58aca3cfb57ebe900b186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,41,0
04c032be938e4318ff002f76a94ce5bacbe2d7da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0
0721a0cf110088ba59b216a78f75841c89ffb72b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0
0a5637891e6e9ed26af41cfb973089c44fc7f9b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7250,0,0,0,0,0,0,1236,0,163,0,0,0
0b7161ed5f3c8cebc4c0d5cc24f66b993386226b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cd8deaa44334d7ff3c1fe0bb092e8a136c02148,0,0,0,0,1059,0,0,0,5346,0,0,0,0,0,0,0,984,0,0,0,336,16759,0,0,2418,0,0,489,2246,0,2783,0,1235,459,8175,0,1322,62,0,0
0d4f9999af43e02000a5e51d07b77f4bac12989b,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d7e6ebae9ae87b8c5c0042679432ff965586c6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f8193ee9ea03dcf1edd1886989c334f8f9799d2,0,0,171857,34430,121728,890,0,0,0,34941,472,89698,0,0,4847,0,0,0,0,0,32885,0,0,0,0,0,0,84,657,316,0,27667,1079,0,69506,5593,0,161,0,0
107568d250340d5e452c9fa7ab825f1baff8d991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5961,0,62118,0,0,0,0,0,0,0,0
12e8dc6d592971c6f768d47712152ce770a930a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
1b089f4f419b450023c3878e153e7de1a9b8c934,0,0,0,0,0,66971,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b2deb24cd1847bd3b8acf3af95a6cbc1196763b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fdebebebe29b58f4c1a5353a7a35dbfaa7596ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220a671517cc8283b0dda3bf676abbf20c650a1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24a7564f31f323572ab2f99d2a34c1a88c3e7c03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19873,0,0,0,0,0,0,333,0,0
291ce85657ca257e483671e0ded2c6f83749c631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4435,0,878,0,0,0,0,0,33,0,0,683,0,331,0,0,0,0,1135,0
2d1583b4bb343f61b6a22f047368c733909754c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36835,0,0,0,0,0,0
2efd806e76ddf191132bd0dc8af8917eb2ab539b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
326ba8ab67ee44cc8ff9befcff2c8ac9b6e431e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56320,144,0,0,0,0,0
